Circuit,NumQubits,NumLayers,NoiseProbability,UseTracked,MeasuredError
HEA,10,50,0,1,0
HEA,10,50,0.44,1,2.88501
HEA,10,50,0.4,1,2.37094
HEA,10,50,0.24,1,0.972264
HEA,10,50,0.04,1,2.79195
HEA,10,50,0.32,1,0.998067
HEA,10,50,0.12,1,0.346159
HEA,10,50,0.42,1,0.127467
HEA,10,50,0.16,1,0.442605
HEA,10,50,0.08,1,0.577563
HEA,10,50,0.5,1,0.46119
HEA,10,50,0.36,1,0.0550066
HEA,10,50,0,0,0
HEA,10,50,0.4,0,0
HEA,10,50,0.24,0,0
HEA,10,50,0.04,0,0
HEA,10,50,0.44,0,0
HEA,10,50,0.16,0,0
HEA,10,50,0.32,0,0
HEA,10,50,0.12,0,0
HEA,10,50,0.42,0,0
HEA,10,50,0.5,0,0
HEA,10,50,0.08,0,0
HEA,10,50,0.36,0,0
HEA,10,50,0.48,1,0.225044
HEA,10,50,0.46,1,0.260461
HEA,10,50,0.02,1,8.42264
HEA,10,50,0.18,1,3.2856
HEA,10,50,0.14,1,7.49495
HEA,10,50,0.48,0,0
HEA,10,50,0.1,1,1.14024
HEA,10,50,0.26,1,0.10868
HEA,10,50,0.38,1,1.29057
HEA,10,50,0.02,0,0
HEA,10,50,0.14,0,0
HEA,10,50,0.34,1,0.634023
HEA,10,50,0.46,0,0
HEA,10,50,0.2,1,2.64869
HEA,10,50,0.18,0,0
HEA,10,50,0.28,1,0.612086
HEA,10,50,0.1,0,0
HEA,10,50,0.26,0,0
HEA,10,50,0.38,0,0
HEA,10,50,0.06,1,8.3013
HEA,10,50,0.34,0,0
HEA,10,50,0.28,0,0
HEA,10,50,0.2,0,0
HEA,10,50,0.06,0,0
HEA,10,50,0.3,1,1.08178
HEA,10,50,0.22,1,0.0801895
HEA,10,50,0.3,0,0
HEA,10,50,0.22,0,0
